Number,HitsLastMonth,MissStreak,MissStreak_RollingMean,MissStreak_RollingStd,MissStreak_RollingSum,ThompsonProb
1,0.0,0,0.0,0.0,0.0,0.012272861224541286
2,0.0,0,0.0,0.0,0.0,0.5436296765091061
3,0.0,0,0.0,0.0,0.0,0.7311380448206569
4,0.0,0,0.0,0.0,0.0,0.38868922671192235
5,0.0,0,0.0,0.0,0.0,0.09270376803006318
6,0.0,0,0.0,0.0,0.0,0.16807133241575323
7,0.0,0,0.0,0.0,0.0,0.5607294107864715
8,0.0,0,0.0,0.0,0.0,0.35891866460737143
9,0.0,0,0.0,0.0,0.0,0.24715694762266727
10,0.0,0,0.0,0.0,0.0,0.6566872306958208
11,0.0,0,0.0,0.0,0.0,0.5305498873814514
12,0.0,0,0.0,0.0,0.0,0.37061025865186553
13,1.0,0,0.0,0.0,0.0,0.2209889468736048
14,0.0,0,0.0,0.0,0.0,0.06865924479910226
15,0.0,0,0.0,0.0,0.0,0.0032877068066724958
16,0.0,0,0.0,0.0,0.0,0.5689303663241446
17,0.0,0,0.0,0.0,0.0,0.7764552773042428
18,0.0,0,0.0,0.0,0.0,0.5065515481142133
19,0.0,0,0.0,0.0,0.0,0.23168411973059544
20,0.0,0,0.0,0.0,0.0,0.17995701102693815
21,0.0,0,0.0,0.0,0.0,0.2412155551576415
22,0.0,0,0.0,0.0,0.0,0.1664822277008117
23,0.0,0,0.0,0.0,0.0,0.04473717183312715
24,0.0,0,0.0,0.0,0.0,0.13990281041281571
25,0.0,0,0.0,0.0,0.0,0.32727233200862244
26,0.0,0,0.0,0.0,0.0,0.10806715861248295
27,0.0,0,0.0,0.0,0.0,0.03998058575611264
28,0.0,0,0.0,0.0,0.0,0.08168578983434807
29,0.0,0,0.0,0.0,0.0,0.14895845654417753
30,0.0,0,0.0,0.0,0.0,0.21201308347760425
31,0.0,0,0.0,0.0,0.0,0.06456785464968738
32,0.0,0,0.0,0.0,0.0,0.06920450574461597
33,0.0,0,0.0,0.0,0.0,0.2077080790184832
34,0.0,0,0.0,0.0,0.0,0.06719839088137543
35,0.0,0,0.0,0.0,0.0,0.758831530241563
36,0.0,0,0.0,0.0,0.0,0.2675403482753782
37,0.0,0,0.0,0.0,0.0,0.5709756467237995
38,1.0,0,0.0,0.0,0.0,0.8021301369248385
39,1.0,0,0.0,0.0,0.0,0.7837011662750156
40,0.0,0,0.0,0.0,0.0,0.11500664571857915
41,1.0,0,0.0,0.0,0.0,0.9502700660814759
42,0.0,0,0.0,0.0,0.0,0.13597166703517843
43,1.0,0,0.0,0.0,0.0,0.39560527357959063
44,0.0,0,0.0,0.0,0.0,0.8159623445192911
45,1.0,0,0.0,0.0,0.0,0.7525747261273669
46,1.0,0,0.0,0.0,0.0,0.9862030839384767
47,0.0,0,0.0,0.0,0.0,0.4857884121269189
48,0.0,0,0.0,0.0,0.0,0.2987776742421897
49,0.0,0,0.0,0.0,0.0,0.6308815427697457
1,0.0,0,0.0,0.0,0.0,0.5243136788620607
2,0.0,0,0.0,0.0,0.0,0.6018933816082912
3,1.0,1,0.5,0.7071067811865476,1.0,0.6293586293414763
4,0.0,0,0.0,0.0,0.0,0.30726569381571117
5,1.0,1,0.5,0.7071067811865476,1.0,0.6545575335941415
6,0.0,0,0.0,0.0,0.0,0.275421897584174
7,0.0,0,0.0,0.0,0.0,0.3496907935195501
8,1.0,1,0.5,0.7071067811865476,1.0,0.39192117101466284
9,0.0,0,0.0,0.0,0.0,0.0023095986188560874
10,0.0,0,0.0,0.0,0.0,0.3126145858506765
11,0.0,0,0.0,0.0,0.0,0.22774576082604778
12,0.0,0,0.0,0.0,0.0,0.19277086376200597
13,1.0,0,0.0,0.0,0.0,0.8794373321608111
14,0.0,0,0.0,0.0,0.0,0.21490598632100097
15,0.0,0,0.0,0.0,0.0,0.5879104821571327
16,0.0,0,0.0,0.0,0.0,0.42327630403344974
17,0.0,0,0.0,0.0,0.0,0.03849781638086302
18,0.0,0,0.0,0.0,0.0,0.36759318761138743
19,0.0,0,0.0,0.0,0.0,0.04003020339476624
20,1.0,1,0.5,0.7071067811865476,1.0,0.3412010247748502
21,0.0,0,0.0,0.0,0.0,0.3654455393141316
22,0.0,0,0.0,0.0,0.0,0.03792204988353042
23,0.0,0,0.0,0.0,0.0,0.28702248484249765
24,0.0,0,0.0,0.0,0.0,0.5205001172479756
25,1.0,1,0.5,0.7071067811865476,1.0,0.5817739121589721
26,0.0,0,0.0,0.0,0.0,0.11757627323900374
27,0.0,0,0.0,0.0,0.0,0.2030926022185888
28,0.0,0,0.0,0.0,0.0,0.21179235472434466
29,0.0,0,0.0,0.0,0.0,0.3743599840074933
30,0.0,0,0.0,0.0,0.0,0.30913989100445105
31,0.0,0,0.0,0.0,0.0,0.35501889680574705
32,0.0,0,0.0,0.0,0.0,0.09494443899075942
33,0.0,0,0.0,0.0,0.0,0.31433316032903574
34,0.0,0,0.0,0.0,0.0,0.47312548266946675
35,0.0,0,0.0,0.0,0.0,0.5725480670224995
36,0.0,0,0.0,0.0,0.0,0.48579094030778036
37,0.0,0,0.0,0.0,0.0,0.5025457042768335
38,2.0,0,0.0,0.0,0.0,0.7463624968240019
39,1.0,0,0.0,0.0,0.0,0.8249148427451334
40,0.0,0,0.0,0.0,0.0,0.4577766854434048
41,1.0,0,0.0,0.0,0.0,0.8706172150079285
42,0.0,0,0.0,0.0,0.0,0.0056972806127992826
43,1.0,0,0.0,0.0,0.0,0.2215013556427272
44,0.0,0,0.0,0.0,0.0,0.1793464084960059
45,1.0,0,0.0,0.0,0.0,0.5924029194632067
46,2.0,0,0.0,0.0,0.0,0.9623336700917742
47,0.0,0,0.0,0.0,0.0,0.07382874703712944
48,0.0,0,0.0,0.0,0.0,0.3153006668029723
49,0.0,0,0.0,0.0,0.0,0.48944178559692353
1,0.0,0,0.0,0.0,0.0,0.39939668130447037
2,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.3341543687654613
3,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.1740336405889207
4,0.0,0,0.0,0.0,0.0,0.25971222349367196
5,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.39605822122150497
6,0.0,0,0.0,0.0,0.0,0.2588170320783906
7,0.0,0,0.0,0.0,0.0,0.035154338968899246
8,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.28707645191247594
9,0.0,0,0.0,0.0,0.0,0.05453770633111522
10,0.0,0,0.0,0.0,0.0,0.2576112459502395
11,0.0,0,0.0,0.0,0.0,0.03525157359692491
12,0.0,0,0.0,0.0,0.0,0.026083424462742064
13,2.0,1,0.3333333333333333,0.5773502691896258,1.0,0.5898367788538302
14,0.0,0,0.0,0.0,0.0,0.21950080643297762
15,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.4951072796787725
16,0.0,0,0.0,0.0,0.0,0.2059456911750606
17,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.469402773245161
18,0.0,0,0.0,0.0,0.0,0.3693181119920993
19,0.0,0,0.0,0.0,0.0,0.09751283037814795
20,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.21175014598115177
21,0.0,0,0.0,0.0,0.0,0.09836478755087143
22,0.0,0,0.0,0.0,0.0,0.11192673036979263
23,0.0,0,0.0,0.0,0.0,0.08375175586856906
24,0.0,0,0.0,0.0,0.0,0.15142982982391145
25,1.0,0,0.3333333333333333,0.5773502691896258,1.0,0.27023789787242175
26,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.3686714788326487
27,0.0,0,0.0,0.0,0.0,0.05666156006975258
28,0.0,0,0.0,0.0,0.0,0.7164981563872853
29,0.0,0,0.0,0.0,0.0,0.3099477106354896
30,0.0,0,0.0,0.0,0.0,0.604586489576744
31,0.0,0,0.0,0.0,0.0,0.09601003395998514
32,0.0,0,0.0,0.0,0.0,0.33718354858367533
33,0.0,0,0.0,0.0,0.0,0.07879812130197889
34,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.5304956029741691
35,0.0,0,0.0,0.0,0.0,0.16716677364764918
36,0.0,0,0.0,0.0,0.0,0.2430498469713603
37,0.0,0,0.0,0.0,0.0,0.34198703476653114
38,2.0,0,0.0,0.0,0.0,0.587877955089156
39,1.0,0,0.0,0.0,0.0,0.5059420231046832
40,0.0,0,0.0,0.0,0.0,0.23463190073578777
41,1.0,0,0.0,0.0,0.0,0.3225837231490619
42,0.0,0,0.0,0.0,0.0,0.0013398787843458622
43,1.0,0,0.0,0.0,0.0,0.25312247709777935
44,0.0,0,0.0,0.0,0.0,0.15398718970460604
45,1.0,0,0.0,0.0,0.0,0.06902514045775308
46,2.0,0,0.0,0.0,0.0,0.6060509131947921
47,0.0,0,0.0,0.0,0.0,0.08125744252710018
