Number,HitsLastMonth,MissStreak,MissStreak_RollingMean,MissStreak_RollingStd,MissStreak_RollingSum,ThompsonProb
1,0.0,0,0.0,0.0,0.0,0.37867984503488966
2,0.0,0,0.0,0.0,0.0,0.6052887804663818
3,0.0,0,0.0,0.0,0.0,0.7726719544589576
4,0.0,0,0.0,0.0,0.0,0.02381961681681585
5,0.0,0,0.0,0.0,0.0,0.18148574861962627
6,0.0,0,0.0,0.0,0.0,0.12310422437793765
7,0.0,0,0.0,0.0,0.0,0.10136200072266703
8,0.0,0,0.0,0.0,0.0,0.22803703547796758
9,0.0,0,0.0,0.0,0.0,0.5799630942522493
10,0.0,0,0.0,0.0,0.0,0.19704048966985171
11,0.0,0,0.0,0.0,0.0,0.3514577852977686
12,0.0,0,0.0,0.0,0.0,0.007251091290399657
13,1.0,0,0.0,0.0,0.0,0.6175225624340993
14,0.0,0,0.0,0.0,0.0,0.2924368706240272
15,0.0,0,0.0,0.0,0.0,0.4631255009571141
16,0.0,0,0.0,0.0,0.0,0.38188377074678226
17,0.0,0,0.0,0.0,0.0,0.5288620782743936
18,0.0,0,0.0,0.0,0.0,0.33623228588944387
19,0.0,0,0.0,0.0,0.0,0.76344914388988
20,0.0,0,0.0,0.0,0.0,0.003916146319532626
21,0.0,0,0.0,0.0,0.0,0.6149117088314743
22,0.0,0,0.0,0.0,0.0,0.283647811630695
23,0.0,0,0.0,0.0,0.0,0.5075057805357877
24,0.0,0,0.0,0.0,0.0,0.6139104101184654
25,0.0,0,0.0,0.0,0.0,0.235234374484108
26,0.0,0,0.0,0.0,0.0,0.16723669022296983
27,0.0,0,0.0,0.0,0.0,0.2121200950580201
28,0.0,0,0.0,0.0,0.0,0.1427357636777675
29,0.0,0,0.0,0.0,0.0,0.01993535633562699
30,0.0,0,0.0,0.0,0.0,0.16673951179290028
31,0.0,0,0.0,0.0,0.0,0.5178318139282363
32,0.0,0,0.0,0.0,0.0,0.5127510541987821
33,0.0,0,0.0,0.0,0.0,0.1931988387421157
34,0.0,0,0.0,0.0,0.0,0.4516725020152366
35,0.0,0,0.0,0.0,0.0,0.8516280032351302
36,0.0,0,0.0,0.0,0.0,0.3367199500330288
37,0.0,0,0.0,0.0,0.0,0.4226439105889094
38,1.0,0,0.0,0.0,0.0,0.7099119189647154
39,1.0,0,0.0,0.0,0.0,0.7556340387736742
40,0.0,0,0.0,0.0,0.0,0.1545831735354555
41,1.0,0,0.0,0.0,0.0,0.6693560959423227
42,0.0,0,0.0,0.0,0.0,0.3383813385830914
43,1.0,0,0.0,0.0,0.0,0.42458773683801476
44,0.0,0,0.0,0.0,0.0,0.09597019005003227
45,1.0,0,0.0,0.0,0.0,0.36337477617424163
46,1.0,0,0.0,0.0,0.0,0.8168504390268011
47,0.0,0,0.0,0.0,0.0,0.12504074929531306
48,0.0,0,0.0,0.0,0.0,0.02134990312013583
49,0.0,0,0.0,0.0,0.0,0.08759737249484793
1,0.0,0,0.0,0.0,0.0,0.009890765325474055
2,0.0,0,0.0,0.0,0.0,0.6230309404619284
3,1.0,1,0.5,0.7071067811865476,1.0,0.4890332899815525
4,0.0,0,0.0,0.0,0.0,0.025851768814213343
5,1.0,1,0.5,0.7071067811865476,1.0,0.6144882717806914
6,0.0,0,0.0,0.0,0.0,0.1251006425783505
7,0.0,0,0.0,0.0,0.0,0.15177193612836223
8,1.0,1,0.5,0.7071067811865476,1.0,0.7208473845566686
9,0.0,0,0.0,0.0,0.0,0.024910992996894366
10,0.0,0,0.0,0.0,0.0,0.17731048815514044
11,0.0,0,0.0,0.0,0.0,0.2935701418008743
12,0.0,0,0.0,0.0,0.0,0.22462515607167002
13,1.0,0,0.0,0.0,0.0,0.7335784039406318
14,0.0,0,0.0,0.0,0.0,0.5944937073883201
15,0.0,0,0.0,0.0,0.0,0.628415597788725
16,0.0,0,0.0,0.0,0.0,0.13232718019450201
17,0.0,0,0.0,0.0,0.0,0.219415334430321
18,0.0,0,0.0,0.0,0.0,0.5106530543970421
19,0.0,0,0.0,0.0,0.0,0.35266198688917655
20,1.0,1,0.5,0.7071067811865476,1.0,0.6274896776157356
21,0.0,0,0.0,0.0,0.0,0.0032239430860715314
22,0.0,0,0.0,0.0,0.0,0.6343642935187398
23,0.0,0,0.0,0.0,0.0,0.2850934013056038
24,0.0,0,0.0,0.0,0.0,0.023289813007253645
25,1.0,1,0.5,0.7071067811865476,1.0,0.5243742962040853
26,0.0,0,0.0,0.0,0.0,0.052129804508715016
27,0.0,0,0.0,0.0,0.0,0.015737732831953496
28,0.0,0,0.0,0.0,0.0,0.1505169377601214
29,0.0,0,0.0,0.0,0.0,0.16711918360935835
30,0.0,0,0.0,0.0,0.0,0.43878784762261014
31,0.0,0,0.0,0.0,0.0,0.071118520853324
32,0.0,0,0.0,0.0,0.0,0.17373331552980123
33,0.0,0,0.0,0.0,0.0,0.10688868032276463
34,0.0,0,0.0,0.0,0.0,0.15961886594466
35,0.0,0,0.0,0.0,0.0,0.4189584628017107
36,0.0,0,0.0,0.0,0.0,0.6359100763226453
37,0.0,0,0.0,0.0,0.0,0.7569215146973182
38,2.0,0,0.0,0.0,0.0,0.9549713271224559
39,1.0,0,0.0,0.0,0.0,0.6748064782109434
40,0.0,0,0.0,0.0,0.0,0.5846437055523296
41,1.0,0,0.0,0.0,0.0,0.7560791343742352
42,0.0,0,0.0,0.0,0.0,0.023111067985055272
43,1.0,0,0.0,0.0,0.0,0.43355003704858724
44,0.0,0,0.0,0.0,0.0,0.44867875080987024
45,1.0,0,0.0,0.0,0.0,0.25161768607612106
46,2.0,0,0.0,0.0,0.0,0.8895868497711018
47,0.0,0,0.0,0.0,0.0,0.3269800138759974
48,0.0,0,0.0,0.0,0.0,0.2454443173936049
